alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.026398912,,0.125928129971639,,1.0646038,1.124717,-0.9994868,250.0,0.0,31.482032492909745,3.4534e-05,0.00010360199999999999,0.00010360199999999999,5.4622517,1.0,11.370493,,,196608
0.026598763,,0.1576879618682804,,1.0059683,1.0333872,-0.99922293,250.0,0.0,39.4219904670701,3.378400000000001e-05,0.000101352,0.000101352,4.3217425,1.0,11.414068,,,198656
0.026730955,,0.09777458671682743,,0.53750575,0.5649382,-0.9930538,250.0,0.0,24.443646679206857,3.3117333333333336e-05,9.9352e-05,9.9352e-05,4.4349804,1.0,11.266067,,,200704
0.026668275,,0.1348725383355196,,1.1069243,1.1370788,-0.9858486,246.7,0.0,33.273055207372686,3.246166666666667e-05,9.738499999999999e-05,9.738499999999999e-05,5.565073,1.0,11.466867,,,202752
0.02636089,,0.15016636766988534,,1.0853498,1.1212094,-0.94058645,250.0,0.0,37.54159191747134,3.1794999999999996e-05,9.538499999999998e-05,9.538499999999998e-05,4.8651433,1.0,11.423262,,,204800
0.026005736,,0.12166143415304373,,0.91745967,0.9427141,-0.95515364,250.0,0.0,30.415358538260932,3.112833333333334e-05,9.3385e-05,9.3385e-05,4.715981,1.0,11.298007,,,206848
0.025639364,,0.09640735841578525,,0.94311,0.9651365,-0.9524724,250.0,0.0,24.101839603946313,3.037833333333333e-05,9.113499999999997e-05,9.113499999999997e-05,5.755335,1.0,11.523137,,,208896
0.025203403,,0.110141085793894,,0.8127698,0.8626232,-0.9655429,250.0,0.0,27.5352714484735,2.9711666666666672e-05,8.9135e-05,8.9135e-05,4.8076334,1.0,11.2602825,,,210944
0.024830407,,0.14451535527185214,,0.9498514,0.99063766,-0.9725782,250.0,0.0,36.128838817963036,2.9045e-05,8.713499999999998e-05,8.713499999999998e-05,4.154481,1.0,11.52191,,,212992
0.024533499,,0.11745497836740601,,1.0231388,1.0635344,-1.0093601,250.0,0.0,29.363744591851503,2.837833333333334e-05,8.5135e-05,8.5135e-05,4.966096,1.0,11.44238,,,215040
0.024449054,,0.1224925361544593,,1.0806854,1.1632056,-0.99723136,250.0,0.0,30.623134038614825,2.7711666666666668e-05,8.3135e-05,8.3135e-05,5.191415,1.0,11.443288,,,217088
0.024287911,,0.12456095393243549,,0.35997862,0.41994053,-0.96449053,250.0,0.0,31.140238483108874,2.6961666666666663e-05,8.088499999999998e-05,8.088499999999998e-05,4.7240686,1.0,11.324964,,,219136
0.02399658,,0.16926597685710235,,1.2417877,1.3097944,-0.95131475,250.0,0.0,42.316494214275586,2.6295e-05,7.8885e-05,7.8885e-05,4.8888803,1.0,11.353442,,,221184
